Segments,Variable Name,Variable Count
Young Upscale Families,Media Trusted the Most- Newspapers ,691603
Elder Midscale Class,Media Trusted the Most- Newspapers ,718429
Comfortable Retirees,Media Trusted the Most- Newspapers ,427752
Mass Markets,Media Trusted the Most- Newspapers ,899587
Young Urban Masses,Media Trusted the Most- Newspapers ,609178
Diverse Workers,Media Trusted the Most- Newspapers ,991678
Modest Families,Media Trusted the Most- Newspapers ,432740
Well-heeled Affluents,Media Trusted the Most- Radio ,117029
Prosperous Acheivers,Media Trusted the Most- Radio ,171511
Young Affluent Mobiles,Media Trusted the Most- Radio ,197564
Upscale Matures,Media Trusted the Most- Radio ,114881
Elite Households,Media Trusted the Most- Radio ,178853
Young Upscale Families,Media Trusted the Most- Radio ,292387
Elder Midscale Class,Media Trusted the Most- Radio ,217237
Comfortable Retirees,Media Trusted the Most- Radio ,137664
Mass Markets,Media Trusted the Most- Radio ,401329
Young Urban Masses,Media Trusted the Most- Radio ,289365
Diverse Workers,Media Trusted the Most- Radio ,345074
Modest Families,Media Trusted the Most- Radio ,176063
Well-heeled Affluents,Media Trusted the Most- Television ,319404
Prosperous Acheivers,Media Trusted the Most- Television ,494847
Young Affluent Mobiles,Media Trusted the Most- Television ,623010
Upscale Matures,Media Trusted the Most- Television ,503135
Elite Households,Media Trusted the Most- Television ,427789
Young Upscale Families,Media Trusted the Most- Television ,889265
Elder Midscale Class,Media Trusted the Most- Television ,923925
Comfortable Retirees,Media Trusted the Most- Television ,816223
Mass Markets,Media Trusted the Most- Television ,1342293
Young Urban Masses,Media Trusted the Most- Television ,854710
Diverse Workers,Media Trusted the Most- Television ,1935427
Modest Families,Media Trusted the Most- Television ,614321
Young Affluent Mobiles,Media Trusted the Most- Internet ,0
Young Affluent Mobiles,Media Trusted the Most- Magazines ,0
Young Affluent Mobiles,Media Trusted the Most- Newspapers ,0
Young Affluent Mobiles,Media Trusted the Most- Radio ,0
Young Affluent Mobiles,Media Trusted the Most- Television ,0
